Season,Team,Playoff,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,O_eFG%,O_TOV%,O_DRB%,O_FT/FGA,Arena,Attend.,Attend./G
2019,Brooklyn Nets,Yes,25.4,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,0.52,13,23.8,0.211,0.512,11.6,76.4,0.19,Barclays Center,612597,14941
2019,Detroit Pistons,Yes,26.9,41,41,40,42,-0.24,-0.31,-0.56,109,109.2,-0.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.211,Little Caesars Arena,675963,16487
2019,Miami Heat,No,27,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,AmericanAirlines Arena,805264,19641
2019,Sacramento Kings,No,24.8,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,0.533,13.6,75.5,0.207,Golden 1 Center,700975,17097
2019,Charlotte Hornets,No,26.6,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,Spectrum Center,676570,16502
2019,New Orleans Pelicans,No,25.7,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,0.532,11.6,76.8,0.193,Smoothie King Center,656183,16004
2019,Dallas Mavericks,No,26.9,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99,0.291,0.422,0.555,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,American Airlines Center,820569,20014
2019,Minnesota Timberwolves,No,26.2,36,46,37,45,-1.5,0.48,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.21,0.538,12.9,74.9,0.19,Target Center,627543,15306
2019,Los Angeles Lakers,No,26.2,37,45,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.18,0.516,12.2,76.4,0.192,STAPLES Center,778877,18997
2019,Memphis Grizzlies,No,27.7,33,49,34,48,-2.6,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,0.508,12.9,20,0.21,0.521,13.9,77.6,0.232,FedEx Forum,638332,15569
